"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Incorrectly Sized Images Potential Savings (bytes)"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/GoJumpInaLake-150x150.jpg","16801","Go Jump In a Lake","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][10]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Snackbar.jpg","55762","Snackbar Airing It Out","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][9]/div/div[1]/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/AshlynLady-1024x683.jpg","160317","Ashelynn & Lady","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][1]/div/div[1]/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/QuinnTana-SouthDaktoa-150x150.jpg","22480","Quinn & Tana - South Dakota","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][15]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Pot-of-Gold-150x150.jpg","17849","Pot of Gold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][13]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/11/RavenAndHisBlankey-1024x768.jpg","54704","Raven & His Blanket","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][17]/div/div[1]/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/2021/03/JasonRoth_portriat.jpg","704583","JasonRoth_portriat","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[1]/div[2]/div/div/div/div/div/img","Content","HTML","","1600x1065","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Quinn-HenrysLake-150x150.jpg","19001","Quinn-Henry's Lake","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][12]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Image","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/2021/05/Raven-PrayingQuote-scaled-1.jpg","777821","Raven-PrayingQuote","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div[1]/div/div/div/div/div/img","Content","HTML","","1880x2560","","0"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/201sitingbull_NEW-landscape-f1beea95cf41397c17078dd13ee66ce1-6075e52370993.png","5010529","201sitingbull_NEW","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[1]/div/div/div/img","Content","HTML","","2560x1792","","0"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/30_aug_VIEW3_detail-scaled-landscape-6b16e48468d50a20bbe27ac72f27a017-8sbzcrdqa0ft.jpg","1328271","30_aug_VIEW3_detail","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[2]/div[2]/div/div/div/div/div/img","Content","HTML","","2560x1885","","0"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/02/Lot-88-DRONE-SHOTS.jpg","302487","","View Drone Images","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[5]/div[2]/div/div[2]/div[2]/div/div[1]/div/div/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/GoldenEagle-sold-landscape-51daea85331dfb78e2dc48606bdb83a6-6075e0a72941a.jpg","333893","GoldenEagle-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[11]/div[2]/div/div/div/div/div/img","Content","HTML","","1920x1344","","0"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Highcamp-sold-landscape-ba179cdcb7cdc551aa647b17b629d4bf-6075e0dc29cc4.jpg","282078","Highcamp-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[13]/div[2]/div/div/div/div/div/img","Content","HTML","","1920x1344","","0"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2024/09/30_aug_24_finals-thumbs-scaled.jpg","712560","","View Gallery Page","200","OK","true","_blank","noopener","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[2]/div[1]/div/div[3]/div/div/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Westcliff-sold-landscape-e0a936680dbd6da6e831b23adcb54db6-6075e007183ee.jpg","309164","Westcliff-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div[8]/div[2]/div/div/div/div/div/img","Content","HTML","","1920x1344","","0"
