"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-migrate-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-migrate-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-migrate-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-migrate-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/about/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-migrate-js']","Head","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/about/","101416","","Lifestyle & Labradors","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/about/","101416","","Lifestyle & Labradors","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/about/","101416","","Lifestyle & Labradors","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/about/","101416","","Lifestyle & Labradors","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/about/","101416","","Skip to content","200","OK","true","","","Path-Relative","//body/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/about/","101416","","Lifestyle & Labradors","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-601']/a","Navigation","HTML"
"HTML Canonical","https://www.f3properties.com/about/","https://www.f3properties.com/about/","101416","","","200","OK","true","","","Absolute","//head/link[18]","Head","HTML"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-core-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-core-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-core-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-core-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/about/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","200","OK","true","","","Absolute","//head/script[@id='jquery-core-js']","Head","HTML"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/128-layout.js?ver=8fcc60e3585ec37608f88f953775a3fe","0","","","200","OK","true","","","Absolute","//body/script[@id='fl-builder-layout-128-js']","Content","HTML"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-150x150.jpg","25361","The Sacred Dog Tree","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][3]/div/div[1]/a/img","Content","HTML"
"CSS","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/plugins/bb-plugin/css/jquery.magnificpopup.min.css?ver=2.10.2","0","","","200","OK","true","","","Absolute","//head/link[@id='jquery-magnificpopup-css']","Head","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-735x1024.jpg","219673","Raven-Bandana","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][18]/div/div[1]/a","Content","HTML"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/JasonRoth_portriat-portrait-811b01acc70329134695b4be067e600e-60a692a15f1d9.jpg","134515","JasonRoth_portriat","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div/div/img","Content","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-1024x683.jpg","261253","The Sacred Dog Tree","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][3]/div/div[1]/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/Tana_LastHunt-1024x683.jpg","98509","Tana's Final Hunt","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][4]/div/div[1]/a","Content","HTML"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/Tana_LastHunt-150x150.jpg","20348","Tana's Final Hunt","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][4]/div/div[1]/a/img","Content","HTML"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Mally-150x150.jpg","20864","Mally","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][11]/div/div[1]/a/img","Content","HTML"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/Snackbar-150x150.jpg","14863","Snackbar Airing It Out","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][9]/div/div[1]/a/img","Content","HTML"
