"Type","Source","Destination","Anchor Text","Alt Text","Path Type"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/contact/","Contact","","Absolute"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/projects/","See our current projects","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.easing.min.js?ver=1.4","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.fitvids.min.js?ver=1.2","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.bxslider.min.js?ver=2.10.2","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.js?ver=c1a4ce84dfde456457a8c677e0273769","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","","","Absolute"
"Image","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","","F3 Properties","Absolute"
"Image","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/2021/03/JasonRoth_portriat.jpg","","JasonRoth_portriat","Absolute"
"Image","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/2021/05/Raven-PrayingQuote-scaled-1.jpg","","Raven-PrayingQuote","Absolute"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/history/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/all.min.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/plugins/bb-plugin/css/jquery.bxslider.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.css?ver=e7d7d702778912e400cff50f50e06c4c","","","Absolute"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","","","Absolute"
"HTML Canonical","https://www.f3properties.com/history/","https://www.f3properties.com/history/","","","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/","","F3 Properties","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/","Home","","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/history/","History","","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/projects/","Current Projects","","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/about/","Lifestyle & Labradors","","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/contact/","Contact","","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/AshlynLady-1024x683.jpg","","Ashelynn & Lady","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/ravenpheasants-1024x683.jpg","","Raven & His Pheasants (South Dakota)","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-1024x683.jpg","","The Sacred Dog Tree","Absolute"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/Tana_LastHunt-1024x683.jpg","","Tana's Final Hunt","Absolute"
